Global_Rank;Institution;Country;Sector;Best Country Quartile
70;University of Tokyo *;JPN;Universities;1
71;Brigham and Women's Hospital *;USA;Health;1
72;Harbin Institute of Technology;CHN;Universities;1
73;Monash University, Melbourne *;AUS;Universities;1
73;Assistance Publique Hopitaux de Paris *;FRA;Health;1
75;University of California, San Francisco *;USA;Universities;1
76;Mayo Clinic *;USA;Health;1
77;The University of British Columbia;CAN;Universities;1
78;Facebook Inc *;MUL;Companies;1
78;Facebook Inc, United States;USA;Companies;1
80;University of New South Wales *;AUS;Universities;1
81;Instituto de Salud Carlos III *;ESP;Health;1
82;New York University *;USA;Universities;1
83;Duke University *;USA;Universities;1
84;Leibniz Gemeinschaft *;DEU;Government;1
85;University of Science and Technology of China *;CHN;Universities;1
86;Tongji University *;CHN;Universities;1
87;Wuhan University *;CHN;Universities;1
88;Northwestern University, Evanston *;USA;Universities;1
89;University of Wisconsin, Madison *;USA;Universities;1
90;Utrecht University *;NLD;Universities;1
91;Ohio State University, Columbus *;USA;Universities;1
92;Tianjin University *;CHN;Universities;1
93;Swiss Federal Institute of Technology;CHE;Universities;1
94;University of Minnesota, Twin Cities *;USA;Universities;1
95;Universidad Nacional Autonoma de Mexico;MEX;Universities;1
96;The University of Edinburgh *;GBR;Universities;1
97;Universite de Paris Cite *;FRA;Universities;1
98;Medical Research Council;GBR;Health;1
99;Universitat de Barcelona *;ESP;Universities;1
100;University of North Carolina, Chapel Hill *;USA;Universities;1
101;The University of Queensland *;AUS;Universities;1
102;The University of Manchester *;GBR;Universities;1
103;Seoul National University *;KOR;Universities;1
104;Kings College London;GBR;Universities;1
105;Ministry of Agriculture;CHN;Government;1
106;Universita degli Studi di Roma La Sapienza;ITA;Universities;1
107;Ragon Institute of MGH, MIT and Harvard;USA;Health;1
108;Universitat Autonoma de Barcelona *;ESP;Universities;1
109;University of Copenhagen;DNK;Universities;1
110;Ludwig Institute for Cancer Research Lausanne;CHE;Health;1
111;Catholic University of Leuven;BEL;Universities;1
112;University of Groningen *;NLD;Universities;1
113;Johns Hopkins Medicine;USA;Health;1
114;University of Pittsburgh *;USA;Universities;1
115;University of Illinois at Urbana-Champaign *;USA;Universities;1
116;NVIDIA Corp;USA;Companies;1
117;Consejo Nacional de Investigaciones Cientificas y Tecnicas *;ARG;Government;1
118;Universite Paris-Saclay *;FRA;Universities;1
119;University of Liverpool *;GBR;Universities;1
120;Jilin University *;CHN;Universities;1
121;Pennsylvania State University *;USA;Universities;1
121;Shandong University *;CHN;Universities;1
123;Microsoft Research Asia, China;CHN;Companies;1
124;Nanyang Technological University *;SGP;Universities;1
125;McGill University *;CAN;Universities;1
126;Southeast University, Nanjing *;CHN;Universities;1
127;Hochschule fur Wirtschaft und Recht Berlin;DEU;Universities;1
128;University of Florida *;USA;Universities;1
129;Universita degli Studi di Milano;ITA;Universities;1
130;Academy of Sciences of the Czech Republic *;CZE;Government;1
131;Broad Institute of MIT and Harvard;USA;Health;1
132;Washington University in Saint Louis *;USA;Universities;1
133;Howard Hughes Medical Institute *;USA;Health;1
134;National Center for Biotechnology Information;USA;Government;1
135;University of Texas, Austin;USA;Universities;1
136;University of California, Davis *;USA;Universities;1
137;Erasmus University Rotterdam *;NLD;Universities;1
138;Technische Universitat Munchen *;DEU;Universities;1
139;Microsoft, China;CHN;Companies;1
140;University of Southern California *;USA;Universities;1
141;Academisch Medisch Centrum;NLD;Health;1
142;Universita degli Studi di Firenze;ITA;Universities;1
143;Leiden University *;NLD;Universities;1
144;Universita degli Studi di Napoli Federico II;ITA;Universities;1
145;South China University of Technology;CHN;Universities;1
146;University of Pennsylvania Health System;USA;Health;1
147;Wellcome Trust Sanger Institute;GBR;Health;1
148;Universita degli Studi di Padova;ITA;Universities;1
149;Yale University Health & Medicine;USA;Health;1
150;Columbia University Irving Medical Center;USA;Health;1
151;L'Alma Mater Studiorum - Universita di Bologna;ITA;Universities;1
152;University of Alberta;CAN;Universities;1
152;Commonwealth Scientific and Industrial Research Organization *;AUS;Government;1
154;European Centre for Medium-Range Weather Forecasts;GBR;Government;1
155;BeiHang University *;CHN;Universities;1
156;Michigan State University;USA;Universities;1
157;Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement *;FRA;Government;1
158;Mount Sinai Health System *;USA;Health;1
158;King Saud University *;SAU;Universities;1
160;Aarhus University *;DNK;Universities;1
161;The Chinese University of Hong Kong *;HKG;Universities;1
162;Nanjing University *;CHN;Universities;1
163;University of Electronic Science and Technology of China *;CHN;Universities;1
164;Stanford Medicine;USA;Health;1
165;Public Health Scotland;GBR;Health;1
166;Emory University *;USA;Universities;1
166;ParisTech, Institut des Sciences et Technologies de Paris - PRES *;FRA;Government;1
168;Whitehead Institute for Biomedical Research;USA;Health;1
169;Vanderbilt University *;USA;Universities;1
170;Purdue University;USA;Universities;1
171;Doe Joint Genome Institute;USA;Government;1
172;Memorial Sloan-Kettering Cancer Center;USA;Health;1
173;Microsoft Corp *;MUL;Companies;1
174;National Aeronautics and Space Administration *;USA;Government;1
175;Tehran University of Medical Sciences *;IRN;Universities;1
176;Deutsches Primatenzentrum;DEU;Government;1
177;Zhengzhou University *;CHN;Universities;1
178;The University of Hong Kong *;HKG;Universities;1
179;Erasmus Medical Center;NLD;Health;1
180;Beijing Institute of Technology;CHN;Universities;1
181;Africa Health Research Institute;ZAF;Health;1
182;Boston University *;USA;Universities;1
183;Universitat de Valencia *;ESP;Universities;1
184;Amman Arab University;JOR;Universities;1
185;Delft University of Technology;NLD;Universities;1
186;Chinese Academy of Medical Sciences and Peking Union Medical College *;CHN;Universities;1
187;University of Bristol *;GBR;Universities;1
187;Universite PSL *;FRA;Universities;1
189;University of Nottingham *;GBR;Universities;1
190;Ghent University;BEL;Universities;1
191;Chongqing University;CHN;Universities;1
192;Chinese Academy of Agricultural Sciences *;CHN;Government;1
193;Singapore Immunology Network;SGP;Government;1
194;Universitat Zurich;CHE;Universities;1
195;University of Glasgow *;GBR;Universities;1
196;University of Texas M.D. Anderson Cancer Center ;USA;Health;1
197;University of Oslo;NOR;Universities;1
197;University of Helsinki;FIN;Universities;1
199;Ludwig Institute for Cancer Research *;USA;Health;1
200;Universidade de Lisboa *;PRT;Universities;1
201;Kyoto University *;JPN;Universities;1
202;Rutgers, The State University of New Jersey;USA;Universities;1
203;University Medical Center Groningen;NLD;Health;1
204;Yonsei University *;KOR;Universities;1
205;Karolinska Institute;SWE;Universities;1
206;Northwestern Polytechnical University;CHN;Universities;1
207;University of Birmingham;GBR;Universities;1
208;California Institute of Technology *;USA;Universities;1
209;Ludwig-Maximilians Universitat Munchen *;DEU;Universities;1
210;Dalian University of Technology *;CHN;Universities;1
211;Universidad Autonoma de Madrid *;ESP;Universities;1
211;Indiana University-Bloomington;USA;Universities;1
213;Hong Kong Polytechnic University;HKG;Universities;1
214;Universidad de Granada *;ESP;Universities;1
215;Dana Farber Cancer Institute ;USA;Health;1
216;University of Leeds;GBR;Universities;1
217;Wageningen University and Research Centre;NLD;Universities;1
218;Lawrence Berkeley National Laboratory *;USA;Government;1
219;Regeneron Pharmaceuticals Inc *;USA;Companies;1
220;The University of Sheffield;GBR;Universities;1
221;Universidad Complutense de Madrid *;ESP;Universities;1
222;Icahn School of Medicine at Mount Sinai;USA;Universities;1
223;Texas A&M University, College Station *;USA;Universities;1
224;Peking University Health Science Center;CHN;Universities;1
225;Centers for Disease Control and Prevention;USA;Health;1
226;Princeton University;USA;Universities;1
227;Lunds University;SWE;Universities;1
227;Carnegie Mellon University *;USA;Universities;1
229;University of Maryland, College Park *;USA;Universities;1
230;University of Arizona *;USA;Universities;1
231;World Health Organization, Switzerland;CHE;Health;1
232;Microsoft, USA;USA;Companies;1
233;Washington University Medical Center ;USA;Health;1
234;Universita degli Studi di Torino;ITA;Universities;1
235;University of Calgary *;CAN;Universities;1
236;Universidade Estadual Paulista Julio de Mesquita Filho;BRA;Universities;1
237;Weill Cornell Medicine;USA;Universities;1
238;University of California, Irvine *;USA;Universities;1
239;Oxford Health NHS Foundation Trust;GBR;Health;1
240;University Medical Center Utrecht;NLD;Health;1
240;Norwegian University of Science and Technology;NOR;Universities;1
242;University of Southampton;GBR;Universities;1
243;Ecole Polytechnique Federale de Lausanne;CHE;Universities;1
244;University of Utah *;USA;Universities;1
244;Duke Medicine;USA;Health;1
246;Commissariat a l'Energie Atomique et aux Energies Alternatives *;FRA;Government;1
247;Georgia Institute of Technology *;USA;Universities;1
248;China University of Geosciences;CHN;Universities;1
249;BGC Trust University Bangladesh;BGD;Universities;1
250;Charite - Universitatsmedizin Berlin *;DEU;Health;1
250;Tel Aviv University;ISR;Universities;1
252;Soochow University, Suzhou *;CHN;Universities;1
253;National Centre for Infectious Diseases;SGP;Health;1
254;Technical University of Denmark;DNK;Universities;1
255;Chan Zuckerberg Biohub;USA;Health;1
256;Universitat Hamburg *;DEU;Universities;1
257;Beijing Normal University *;CHN;Universities;1
258;Universidad de Sevilla *;ESP;Universities;1
259;United States Department of Agriculture;USA;Government;1
260;Queen Mary, University of London;GBR;Universities;1
261;Arizona State University *;USA;Universities;1
262;Wuhan Institute of Virology, Chinese Academy of Sciences;CHN;Government;1
263;Cardiovascular Research Foundation;USA;Health;1
264;Woodruff Health Sciences Center;USA;Health;1
265;NIHR Oxford Biomedical Research Centre;GBR;Health;1
266;University of Colorado, Denver *;USA;Universities;1
267;Leiden University Medical Center;NLD;Health;1
268;University of Ljubljana *;SVN;Universities;1
269;Radboud University Nijmegen Medical Centre;NLD;Health;1
270;Istituto Nazionale di Fisica Nucleare *;ITA;Government;1
271;World Health Organization *;MUL;Health;1
272;National Library of Medicine;USA;Health;1
273;Camden and Islington NHS Foundation Trust;GBR;Health;1
274;Capital University of Medical Sciences *;CHN;Universities;1
275;Cold Spring Harbor Laboratory;USA;Health;1
276;NYU Langone Health;USA;Health;1
277;Copenhagen University Hospital;DNK;Health;1
278;Universitat Bern *;CHE;Universities;1
279;Aix-Marseille Universite *;FRA;Universities;1
280;Kavli Institute for Cosmology;GBR;Government;1
281;Universita degli Studi di Pisa;ITA;Universities;1
282;Hunan University;CHN;Universities;1
283;University of Colorado, Boulder *;USA;Universities;1
284;University of Virginia *;USA;Universities;1
285;Universidade do Porto *;PRT;Universities;1
286;Uppsala University;SWE;Universities;1
287;Gujarat Pollution Control Board;IND;Government;1
288;University of Exeter;GBR;Universities;1
289;UCLA Health System;USA;Health;1
290;University of Tehran;IRN;Universities;1
291;Vanderbilt University Medical Center;USA;Health;1
292;Universitat Heidelberg;DEU;Universities;1
293;University of Warwick;GBR;Universities;1
294;Charles University *;CZE;Universities;1
295;McMaster University *;CAN;Universities;1
296;Tashkent Institute of Irrigation and Agricultural Mechanization Engineers;UZB;Universities;1
297;University of Science, Malaysia *;MYS;Universities;1
297;Universitat Politecnica de Valencia *;ESP;Universities;1
299;Cardiff University;GBR;Universities;1
300;Institucio Catalana de Recerca i Estudis Avancats;ESP;Government;1
301;Newcastle University, Newcastle upon Tyne;GBR;Universities;1
302;Fred Hutchinson Cancer Research Center *;USA;Health;1
303;Northwestern Medicine;USA;Health;1
304;National Cancer Institute;USA;Health;1
305;Heidelberger Institut fur Theoretische Studien;DEU;Non-Profit;1
306;University of Zagreb;HRV;Universities;1
307;Swiss Institute of Bioinformatics;CHE;Non-Profit;1
308;Universite Montpellier *;FRA;Universities;1
309;Universite Grenoble-Alpes *;FRA;Universities;1
310;Institut National de Recherche en Informatique et en Automatique *;FRA;Government;1
311;Gilead Sciences *;MUL;Companies;1
312;Cleveland Clinic *;USA;Health;1
313;Gilead Sciences Inc, United States;USA;Companies;1
314;University Health Network *;CAN;Health;1
315;UC San Diego Health System;USA;Health;1
316;National Institute of Allergy and Infectious Diseases;USA;Health;1
316;Aalborg University *;DNK;Universities;1
316;University of Auckland;NZL;Universities;1
316;Nankai University *;CHN;Universities;1
320;Brown University;USA;Universities;1
321;Korea University *;KOR;Universities;1
322;University of Technology, Sydney;AUS;Universities;1
322;University of Iowa *;USA;Universities;1
324;Pontificia Universidad Catolica de Chile *;CHL;Universities;1
325;UK Astronomy Technology Centre;GBR;Government;1
326;Microsoft Research Redmond, USA;USA;Companies;1
327;Deutsches Krebsforschungszentrum;DEU;Government;1
328;University Putra Malaysia;MYS;Universities;1
329;Jiangsu University *;CHN;Universities;1
330;Jagiellonian University;POL;Universities;1
331;University of Colorado, Anschutz Medical Campus;USA;Universities;1
332;China University of Mining and Technology;CHN;Universities;1
333;Baidu Inc *;MUL;Companies;1
334;Ministry of Health ;SGP;Health;1
335;London School of Hygiene and Tropical Medicine;GBR;Universities;1
336;University of Garmian;IRQ;Universities;1
337;University of Gothenburg;SWE;Universities;1
338;Xiamen University *;CHN;Universities;1
339;Simons Foundation;USA;Non-Profit;1
340;Microsoft, United Kingdom;GBR;Companies;1
341;World Health Organization, Denmark;DNK;Health;1
342;Harvard-Smithsonian Center for Astrophysics;USA;Government;1
343;Friedrich-Alexander-Universitat Erlangen-Nurnberg *;DEU;Universities;1
344;National Taiwan University;TWN;Universities;1
345;Max Planck Institut fur Intelligente Systeme;DEU;Government;1
346;Space Telescope Science Institute;USA;Government;1
346;Universidad Nacional de Colombia *;COL;Universities;1
348;Children's Hospital Boston  *;USA;Health;1
349;The University of Adelaide;AUS;Universities;1
350;Bill and Melinda Gates Foundation;USA;Non-Profit;1
351;King Abdulaziz University *;SAU;Universities;1
351;Center for Disease Control and Prevention China;CHN;Health;1
353;SLAC National Accelerator Laboratory;USA;Government;1
353;Council of Scientific and Industrial Research *;IND;Government;1
355;Cancer Research UK;GBR;Health;1
356;Universidade Federal do Rio Grande do Sul;BRA;Universities;1
356;ILMA University;PAK;Universities;1
358;Max Planck Institut fur Astronomie;DEU;Government;1
359;Tohoku University *;JPN;Universities;1
359;Politecnico di Milano;ITA;Universities;1
361;University of Waterloo *;CAN;Universities;1
362;Shenzhen University;CHN;Universities;1
363;Rheinisch-Westfalische Technische Hochschule Aachen;DEU;Universities;1
363;University of Michigan Health System;USA;Health;1
365;Huzhou University;CHN;Universities;1
366;Universite de Geneve;CHE;Universities;1
367;Australian National University;AUS;Universities;1
368;Hungarian Academy of Sciences *;HUN;Government;1
369;Technische Universitat Dresden *;DEU;Universities;1
370;Rheinische Friedrich-Wilhelms-Universitat Bonn *;DEU;Universities;1
370;Hypertension Arterielle, Pulmonaire: Physiopathologie et Innovation Therapeutique;FRA;Companies;1
370;Baylor College of Medicine;USA;Universities;1
373;Virginia Polytechnic Institute and State University *;USA;Universities;1
374;China Agricultural University;CHN;Universities;1
374;Oak Ridge National Laboratory;USA;Government;1
376;Universidade Federal do Rio de Janeiro *;BRA;Universities;1
376;CGIAR Consortium of International Agricultural Research *;MUL;Non-Profit;1
378;Institute for Systems Biology;USA;Health;1
378;Osaka University *;JPN;Universities;1
380;Baidu Inc, China;CHN;Companies;1
381;Universidade Estadual de Campinas *;BRA;Universities;1
382;King Abdullah University of Science and Technology;SAU;Universities;1
382;Institut de Recherche pour le Developpement *;MUL;Government;1
384;CareGroup Healthcare System *;USA;Health;1
385;Netherlands Environmental Assessment Agency;NLD;Government;1
386;Qatar Computing Research Institute;QAT;Government;1
386;State Grid Corporation of China *;CHN;Companies;1
388;Institut de Recherche pour le Developpement France;FRA;Government;1
389;Universitat d'Alacant *;ESP;Universities;1
390;Max Planck Institut fur Informatik;DEU;Government;1
391;VA St Louis Health Care System;USA;Health;1
392;Northeastern University, China;CHN;Universities;1
392;University of Texas Southwestern Medical Center ;USA;Universities;1
394;Health Data Research UK;GBR;Non-Profit;1
395;Vector Institute for Artificial Intelligence;CAN;Non-Profit;1
396;West China Hospital;CHN;Health;1
396;Universidad de Chile *;CHL;Universities;1
398;The Francis Crick Institute;GBR;Health;1
399;Centro Nacional de Investigaciones Oncologicas;ESP;Health;1
400;University of Alabama, Birmingham *;USA;Universities;1
401;Wuhan University of Technology *;CHN;Universities;1
402;Karlsruher Institut fur Technologie;DEU;Universities;1
403;University of Miami *;USA;Universities;1
404;Institute for Space Sciences;ROU;Government;1
405;Seattle Cancer Care Alliance ;USA;Health;1
406;University of Warsaw;POL;Universities;1
407;City University of Hong Kong *;HKG;Universities;1
408;The University of Western Australia;AUS;Universities;1
409;Karolinska University Hospital;SWE;Health;1
409;Beth Israel Deaconess Medical Center;USA;Health;1
411;University of Science and Technology Beijing;CHN;Universities;1
412;Institute for Molecular Medicine;FIN;Health;1
413;Canadian Institute for Advanced Research;CAN;Non-Profit;1
414;RIKEN-Institute of Physical and Chemical Research;JPN;Government;1
415;Lomonosov  Moscow State University;RUS;Universities;1
415;China Medical University Hospital;TWN;Health;1
417;J. David Gladstone Institutes;USA;Health;1
418;Fraunhofer Gesellschaft *;DEU;Government;1
419;Deakin University *;AUS;Universities;1
420;Sungkyunkwan University;KOR;Universities;1
421;University of Athens;GRC;Universities;1
422;Alan Turing Institute;GBR;Government;1
423;Argonne National Laboratory *;USA;Government;1
423;North Carolina State University;USA;Universities;1
425;Smithsonian Institution *;USA;Government;1
426;University of Maryland, Baltimore;USA;Universities;1
427;Quchan University of Technology;IRN;Universities;1
428;University of Cincinnati *;USA;Universities;1
429;Centre de Physique des Particules de Marseille;FRA;Government;1
430;Universite Paul Sabatier, Toulouse III *;FRA;Universities;1
430;University of Belgrade;SRB;Universities;1
432;University of Illinois, Chicago *;USA;Universities;1
433;Public Health England;GBR;Health;1
434;Case Western Reserve University;USA;Universities;1
435;Medizinische Universitat Wien;AUT;Universities;1
436;Population Health Research Institute;CAN;Health;1
436;German Cancer Consortium;DEU;Government;1
438;University of Ottawa;CAN;Universities;1
439;Barcelona Institute of Science and Technology *;ESP;Government;1
440;European Commission - Joint Research Centre Ispra, Italy;ITA;Government;1
441;Universidade Federal de Minas Gerais;BRA;Universities;1
442;The Rockefeller University *;USA;Universities;1
443;Queen's University Belfast;GBR;Universities;1
443;Institut Pasteur de Paris;FRA;Health;1
445;Universidad de Murcia *;ESP;Universities;1
446;Flanders Interuniversity Institute for Biotechnology *;BEL;Government;1
447;Max Planck Institut fur Pflanzenzuchtungsforschung;DEU;Government;1
447;University of California, Santa Barbara;USA;Universities;1
449;University of Southern Denmark;DNK;Universities;1
450;University of Durham;GBR;Universities;1
451;Nanjing Medical University *;CHN;Universities;1
451;Universidad de Salamanca *;ESP;Universities;1
453;Albert-Ludwigs-Universitat Freiburg im Breisgau;DEU;Universities;1
454;University College Dublin;IRL;Universities;1
454;University of Rochester *;USA;Universities;1
456;Boston University Medical Campus ;USA;Health;1
457;Kavli Institute for Particle Astrophysics and Cosmology;USA;Non-Profit;1
458;Radboud University Nijmegen;NLD;Universities;1
459;Oslo University Hospital;NOR;Health;1
460;Royal Institute of Technology *;SWE;Universities;1
460;Romanian Academy *;ROU;Government;1
460;University of York;GBR;Universities;1
463;Royal Netherlands Academy of Arts and Sciences *;NLD;Government;1
464;National University of Malaysia *;MYS;Universities;1
465;Istituto Nazionale di Astrofisica *;ITA;Government;1
466;Johann Wolfgang Goethe-Universitat Frankfurt am Main *;DEU;Universities;1
466;Oxford University Hospitals NHS Trust;GBR;Health;1
466;Max Planck Institut fur Biologie Tubingen;DEU;Government;1
469;Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH;DEU;Non-Profit;1
470;Universitat Wien;AUT;Universities;1
471;Universidad del Pais Vasco *;ESP;Universities;1
472;Jinan University *;CHN;Universities;1
473;Queensland University of Technology;AUS;Universities;1
474;Masaryk University;CZE;Universities;1
474;A.Alikhanyan National Laboratory;ARM;Government;1
476;Institute of Cancer Research;GBR;Health;1
477;Baidu Inc, United States;USA;Companies;1
478;Max Planck Institut fur Biogeochemie;DEU;Government;1
478;Max Planck Institut fur Molekulare Zellbiologie und Genetik;DEU;Government;1
480;National Institute on Aging;USA;Health;1
480;The Buck Institute for Research on Aging;USA;Health;1
482;Universite de Bordeaux *;FRA;Universities;1
483;European Commission - Joint Research Centre;MUL;Government;1
484;Max-Delbruck-Centrum fur Molekulare Medizin ;DEU;Government;1
485;Guys & Saint Thomas NHS Foundation Trust;GBR;Health;1
485;Institut fur Quantenoptik und Quanteninformation Osterreichische Akademie der Wissenschaften;AUT;Government;1
487;University of Western Ontario;CAN;Universities;1
487;National Institute for Subatatomic Physics;NLD;Government;1
489;Max Planck Institut fur Extraterrestrische Physik;DEU;Government;1
489;Stockholm University *;SWE;Universities;1
491;University of Malaya *;MYS;Universities;1
491;Helmholtz Zentrum Munchen Forschungszentrum fur Umwelt und Gesundheit;DEU;Government;1
493;University Hospital Maastricht;NLD;Health;1
494;National Academy of Sciences of Ukraine *;UKR;Government;1
494;Lancaster University *;GBR;Universities;1
496;Foundation Medicine Inc;USA;Companies;1
497;Universitat Politecnica de Catalunya *;ESP;Universities;1
498;Salk Institute for Biological Studies;USA;Health;1
499;University Hospitals Leuven;BEL;Health;1
500;Istituto Nazionale Malattie Infettive Lazzaro Spallanzani IRCCS;ITA;Health;1
501;Institut Catala de la Salut Barcelona *;ESP;Health;1
502;Universidad de Zaragoza *;ESP;Universities;1
503;National Radio Astronomy Observatory Charlottesville;USA;Government;1
503;Max Planck Institut fur Astrophysik;DEU;Government;1
505;Universidade de Santiago de Compostela *;ESP;Universities;1
506;Imperial College Healthcare NHS Trust;GBR;Health;1
507;Johannes Gutenberg-Universitat Mainz *;DEU;Universities;1
508;Eberhard-Karls-Universitat Tubingen;DEU;Universities;1
509;Institute for Advanced Study;USA;Non-Profit;1
510;Novo Nordisk A/S;DNK;Companies;1
510;Novo Nordisk *;MUL;Companies;1
512;Max Planck Institute fur Gravitationsphysik;DEU;Government;1
512;Hanyang University *;KOR;Universities;1
514;Vall d’Hebron Instituto de Oncologia;ESP;Health;1
515;National Bureau of Economic Research;USA;Non-Profit;1
516;Universita degli Studi di Genova;ITA;Universities;1
516;George Institute for International Health, United Kingdom;GBR;Health;1
518;Kaiser Permanente Research, Washington;USA;Health;1
519;Westfalische Wilhelms-Universitat Munster *;DEU;Universities;1
520;Australian Research Council Centre of Excellence for Gravitational Wave Discovery;AUS;Government;1
520;Universidade de Coimbra *;PRT;Universities;1
522;Hokkaido University *;JPN;Universities;1
523;Union Hospital, Tongji Medical College;CHN;Health;1
524;Universite de Montreal;CAN;Universities;1
524;University of Bath;GBR;Universities;1
526;Aalto University;FIN;Universities;1
527;Universitatsklinikum Hamburg Eppendorf;DEU;Health;1
527;European Southern Observatory *;DEU;Government;1
527;University of Georgia;USA;Universities;1
527;Complexity Science Hub Vienna;AUT;Government;1
531;Agency for Science, Technology and Research Singapore *;SGP;Government;1
531;Southern Medical University *;CHN;Universities;1
533;George Institute for International Health *;AUS;Health;1
534;Max Planck Institut fur Evolutionare Anthropologie;DEU;Government;1
534;Institut Gustave Roussy *;FRA;Health;1
534;Universidad de Navarra *;ESP;Universities;1
537;Northwest A and F University;CHN;Universities;1
538;Curtin University *;AUS;Universities;1
538;Universitat Basel *;CHE;Universities;1
540;Cairo University *;EGY;Universities;1
541;Deutsches Zentrum fur Neurodegenerative Erkrankungen;DEU;Government;1
542;Perimeter Institute for Theoretical Physics;CAN;Non-Profit;1
542;Universita Cattolica del Sacro Cuore;ITA;Universities;1
544;Nanjing University of Aeronautics and Astronautics;CHN;Universities;1
544;European Commission *;MUL;Government;1
544;Biotechnology and Biological Sciences Research Council *;GBR;Government;1
547;Sun Yat-sen University Fifth Hospital;CHN;Health;1
547;ARC Centre of Excellence for All-Sky Astrophysics in 3 Dimensions;AUS;Government;1
547;Centro de Investigacion Biomedica en Red de Cancer, Barcelona;ESP;Health;1
550;Pasteur Network *;MUL;Health;1
551;Babraham Institute;GBR;Government;1
552;Fundacio de Recerca Clinic Barcelona-Institut d’Investigacions Biomediques August Pi i Sunyer;ESP;Health;1
552;Max Planck Institut fur Biochemie;DEU;Government;1
552;Indiana University-Purdue University Indianapolis;USA;Universities;1
555;UCSF Helen Diller Family Comprehensive Cancer Center;USA;Health;1
555;NASA Goddard Space Flight Center;USA;Government;1
557;Orebro University Hospital;SWE;Health;1
558;Baker IDI Heart and Diabetes Institute;AUS;Health;1
558;Universitat Leipzig *;DEU;Universities;1
560;University of Southern California Health Sciences Campus;USA;Health;1
560;Oregon Health & Science University *;USA;Universities;1
562;National Heart Lung and Blood Institute;USA;Health;1
563;Pfizer Inc, United States;USA;Companies;1
563;Statens Serum Institut;DNK;Health;1
563;University of Bergen;NOR;Universities;1
563;NEC Corporation of America;USA;Companies;1
567;Saint Petersburg State University;RUS;Universities;1
568;Linkoping University;SWE;Universities;1
569;University of Leicester;GBR;Universities;1
